2019-10-16 13:36:17 configure thunderbird-locale-es:amd64 1:60.9.0+build1-0ubuntu0.19.04.1 <ninguna>
2019-10-16 13:36:17 status unpacked thunderbird-locale-es:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 status half-configured thunderbird-locale-es:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 status installed thunderbird-locale-es:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 configure thunderbird-locale-en:amd64 1:60.9.0+build1-0ubuntu0.19.04.1 <ninguna>
2019-10-16 13:36:17 status unpacked thunderbird-locale-en:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 status half-configured thunderbird-locale-en:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 status installed thunderbird-locale-en:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 configure thunderbird-gnome-support:amd64 1:60.9.0+build1-0ubuntu0.19.04.1 <ninguna>
2019-10-16 13:36:17 status unpacked thunderbird-gnome-support:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 status half-configured thunderbird-gnome-support:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 status installed thunderbird-gnome-support:amd64 1:60.9.0+build1-0ubuntu0.19.04.1
2019-10-16 13:36:17 trigproc desktop-file-utils:amd64 0.23-4ubuntu1 <ninguna>
2019-10-16 13:36:17 status half-configured desktop-file-utils:amd64 0.23-4ubuntu1
2019-10-16 13:36:17 status installed desktop-file-utils:amd64 0.23-4ubuntu1
2019-10-16 13:36:17 trigproc mime-support:all 3.60ubuntu1 <ninguna>
